STATUS BEKERJA,UMUR,STATUS MENIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPK,STATUS KELULUSAN
0,27,0,2.69,2.36,3.23,3.25,2.8825,1
0,29,0,1.08,1.84,0.71,1.7,1.3325,1
1,24,0,2.57,2.17,2.91,1.91,2.39,1
0,27,0,3.14,3.46,3.4,3.43,3.3575,1
1,26,0,3.12,2.83,3.45,3.09,3.1225,0
1,24,0,3.24,3.13,3.44,3.3,3.2775,0
1,24,0,3.31,2.73,3.11,3.04,3.0475000000000003,0
0,28,0,3.0,2.5,2.7,2.41,2.6525,1
1,23,0,3.0,2.89,3.25,2.83,2.9925,0
1,25,0,3.33,2.48,3.73,3.52,3.265,0
0,26,0,3.38,2.78,3.59,3.11,3.215,1
1,25,0,2.74,2.39,3.11,2.75,2.7475,0
0,24,0,2.86,2.75,3.48,2.83,2.98,1
1,25,0,3.19,2.95,3.73,3.74,3.4025000000000003,0
0,24,0,3.07,2.55,2.93,1.59,2.5349999999999997,1
1,23,0,3.02,2.88,2.45,2.14,2.6225000000000005,0
1,23,0,2.9,2.98,2.39,2.91,2.795,0
1,24,0,3.52,3.48,3.77,3.52,3.5725,0
1,32,0,2.45,2.45,2.14,1.95,2.2475,1
1,26,0,2.76,3.14,2.6,2.95,2.8625,0
1,24,0,2.88,2.77,2.61,3.23,2.8725,0
1,24,0,2.9,2.89,3.25,3.13,3.0424999999999995,0
0,28,0,3.26,3.73,3.02,3.5,3.3775,0
0,26,0,2.29,2.14,1.84,1.67,1.9849999999999999,1
0,27,0,2.24,3.14,1.9,1.89,2.2925000000000004,1
0,27,0,2.12,2.22,2.64,2.05,2.2575000000000003,1
0,29,0,2.88,2.5,3.34,2.54,2.8149999999999995,1
1,25,0,2.07,2.7,2.32,2.36,2.3625,1
1,32,0,3.02,3.63,3.42,3.37,3.3600000000000003,0
1,23,0,1.98,2.5,2.14,2.77,2.3475,0
0,29,0,2.33,2.75,2.36,2.18,2.405,1
1,24,0,2.98,2.75,3.61,3.17,3.1275,0
1,27,0,2.86,2.41,2.55,3.0,2.705,0
0,23,0,2.5,2.67,2.84,2.5,2.6275,1
1,26,0,2.98,2.66,2.7,2.73,2.7675,0
0,27,0,2.55,2.36,2.82,2.36,2.5225,1
1,32,0,2.48,2.95,2.84,2.5,2.6925,1
1,27,0,2.86,3.05,2.54,2.36,2.7024999999999997,1
1,27,0,3.43,3.56,3.55,3.67,3.5524999999999998,0
1,24,0,3.24,2.83,3.5,2.67,3.06,0
0,24,0,3.0,2.38,2.84,2.68,2.7249999999999996,1
0,27,0,2.88,2.59,2.82,3.05,2.835,1
1,25,0,2.9,3.07,2.44,2.41,2.705,0
1,23,0,3.31,2.96,3.48,3.26,3.2525,0
1,28,0,2.57,2.55,2.57,1.91,2.4,1
1,23,0,3.02,2.88,2.45,2.14,2.6225000000000005,0
0,23,0,2.76,1.44,3.11,2.08,2.3474999999999997,1
1,23,0,2.05,3.52,3.5,3.85,3.23,0
0,26,0,2.1,2.5,3.02,2.85,2.6174999999999997,1
0,29,0,2.67,2.2,1.45,3.0,2.33,1
0,27,0,2.55,2.3,2.02,2.32,2.2975,1
0,25,0,3.1,2.38,2.41,2.27,2.54,1
0,25,1,3.6,3.54,3.52,3.39,3.5125,1
0,30,0,2.05,1.68,2.24,2.09,2.0149999999999997,1
0,27,0,3.24,3.58,3.25,3.43,3.375,1
1,24,0,3.4,3.23,2.52,2.91,3.015,0
1,23,0,3.29,3.71,3.52,3.52,3.51,0
1,24,0,2.48,2.32,2.18,2.36,2.335,0
1,27,0,3.17,3.41,3.61,3.36,3.3874999999999997,1
0,25,0,2.24,2.03,1.74,1.95,1.99,1
1,26,0,3.76,3.81,3.17,3.63,3.5925000000000002,0
1,27,0,3.1,2.95,3.14,2.38,2.8925,0
0,28,0,2.6,2.91,2.68,2.68,2.7175,1
0,27,0,2.74,2.41,2.75,2.86,2.69,1
1,23,0,2.55,2.75,2.64,2.59,2.6325,0
