STATUS BEKERJA,UMUR,STATUS MENIKAH,IPS 1,IPS 2,IPS 3,IPS 4,IPK,STATUS KELULUSAN
0,27,0,2.95,2.53,3.05,2.46,2.7475000000000005,1
0,24,0,3.07,2.55,2.93,1.59,2.5349999999999997,1
1,29,1,2.83,3.61,3.18,3.23,3.2125,0
1,24,0,3.07,2.68,3.43,2.57,2.9375,0
0,27,0,2.64,2.83,1.75,2.5,2.43,1
0,27,0,2.55,2.3,2.02,2.32,2.2975,1
0,50,1,2.88,3.32,2.48,3.27,2.9875,1
0,24,0,3.5,3.03,3.4,2.93,3.215,1
1,26,0,2.98,2.66,2.7,2.73,2.7675,0
1,24,0,3.02,2.55,3.64,2.63,2.96,1
1,23,0,2.71,2.75,2.43,3.14,2.7575000000000003,0
0,25,0,3.1,2.38,2.41,2.27,2.54,1
1,27,0,3.21,2.4,3.66,3.2,3.1174999999999997,0
0,27,1,2.57,3.16,3.06,2.88,2.9175000000000004,1
1,24,0,3.24,2.83,3.5,2.67,3.06,0
1,24,0,2.79,2.73,2.48,2.45,2.6125,0
0,25,0,3.0,3.23,2.88,3.09,3.05,1
1,26,0,2.88,2.71,3.45,3.15,3.0475,1
1,25,0,2.9,3.07,2.44,2.41,2.705,0
1,23,0,3.21,3.07,3.0,3.41,3.1725,0
0,25,0,1.81,1.7,0.53,0.18,1.055,1
1,23,0,3.02,2.88,2.45,2.14,2.6225000000000005,0
0,30,0,2.81,3.09,2.63,3.36,2.9725,1
1,22,0,2.43,2.55,2.64,2.68,2.575,0
1,27,0,3.33,2.88,3.52,2.68,3.1025,0
0,23,0,2.74,2.68,2.36,2.55,2.5824999999999996,1
0,27,0,2.5,2.43,2.77,2.67,2.5925,1
0,29,0,1.08,1.84,0.71,1.7,1.3325,1
0,26,0,3.52,2.73,3.41,2.93,3.1475,1
1,26,0,3.29,3.31,2.88,3.36,3.21,0
1,24,0,3.24,3.13,3.44,3.3,3.2775,0
0,25,0,3.02,2.83,3.0,1.98,2.7075,1
0,27,0,3.14,3.46,3.4,3.43,3.3575,1
1,22,0,3.1,3.38,3.6,3.83,3.4775,0
0,24,0,2.76,2.19,2.77,0.96,2.17,1
0,26,0,3.12,3.23,2.96,3.0,3.0774999999999997,1
