Iterasi,Akurasi,Precision,Recall,F1-Score,TP,TN,FP,FN
1,0.8615384615384616,0.8605313092979128,0.861904761904762,0.8610121168923734,26,30,5,4
2,0.8923076923076924,0.889943074003795,0.8967181467181468,0.8913821914538076,32,26,2,5
3,0.8615384615384616,0.8612689393939394,0.861954459203036,0.8614072494669509,29,27,4,5
4,0.9076923076923077,0.9047619047619048,0.9102316602316602,0.9066091954022988,26,33,4,2
5,0.8461538461538461,0.8476190476190477,0.8456439393939394,0.8458254269449715,26,29,4,6
6,0.8461538461538461,0.8518339768339769,0.8451704545454546,0.8452380952380952,25,30,3,7
7,0.8461538461538461,0.8458254269449715,0.8458254269449715,0.8458254269449715,26,29,5,5
8,0.8461538461538461,0.8674999999999999,0.8480113636363636,0.8443486590038314,24,31,1,9
9,0.9230769230769231,0.922201138519924,0.9238095238095239,0.922784509384652,28,32,3,2
10,0.9076923076923077,0.9071969696969697,0.9095238095238095,0.9074952561669829,28,31,4,2
